id	title_rich	title_text	author_name	author_firstname	author_idref-key	author_idref-id	promotion_year	pagination	author_gender	topic_notBefore	topic_notAfter	enc_teacher	site:id?	these_id	these_biblionumber-benc	these_ppn-sudoc
ENC_1-1847-1865_PREV1		Règlement de la société de l'École royale des chartes fondée le 24 mars 1939						1-10								
ENC_1-1847-1865_PREV2		Ecole royale des chartes : Séance d'inauguration (5 mai 1847)						1-48								
ENC_1-1847-1865_PREV3		Ordonnance du roi portant réorganisation de l’'École royale des chartes						49-56								
ENC_1-1847-1865_PREV4		Discours prononcé par M. Letronne, directeur de l'École royale des chartes, à la séance d’inauguration de l'École, présidée par S.E.M. le ministre de l’instruction publique. Le 5 mai 1847						1-12								
ENC_1-1847-1865_PREV5		Requête présentée par la société de l'École impériale des chartes à l’effet d’être reconnue comme établissement d’utilité publique						1-30								
ENC_1-1847-1865_PREV6		Cours d’histoire de la littérature provençale						1-30								
ENC_1-1847-1865_PREV7		A M. Arthur Giry / Simon Luce. Discours prononcé au banquet de la Société des anciens élèves de l’Ecole des chartes, 28 mai 1879						0-8								
ENCPOS_1849_01	Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du <abbr>xii<sup>e</sup></abbr> siècle	Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du xiie siècle	Bastard, De	Léon	Bastard d'Estang, Léon de (1822-1860 ; Cte)	087486342	1849	1-2	1	1100	1150		184901			
ENCPOS_1849_02	Marguilliers laïques des églises de Paris	Marguilliers laïques des églises de Paris	Boisserand	Dominique-Claude	Boisserand, Dominique-Claude	ABSENT	1849	3	1	500	1789		184902			
ENCPOS_1849_03	Hugues_Capet dans l’histoire et le roman	Hugues-Capet dans l’histoire et le roman	Chatel	Eugène	Chatel, Eugène (1820-1910)	083072373	1849	5-6	1	940	1849		184903			
ENCPOS_1849_04	Essai sur les revenus publics en Normandie au <abbr>xii<sup>e</sup></abbr> siècle	Essai sur les revenus publics en Normandie au xiie siècle	Delisle	Léopold	Delisle, Léopold (1826-1910)	26820897	1849	7-8	1	1100	1199		184904			
